open_time,open,high,low,close,volume
2025-12-29 21:53:00,87340.6,87340.6,87340.59,87340.6,0.79124
2025-12-29 21:54:00,87340.6,87340.6,87322.24,87322.25,6.73176
2025-12-29 21:55:00,87322.25,87322.25,87322.24,87322.24,1.17963
2025-12-29 21:56:00,87322.24,87322.25,87322.24,87322.24,1.5013
2025-12-29 21:57:00,87322.25,87331.61,87322.24,87331.61,4.00197
2025-12-29 21:58:00,87331.61,87345.66,87331.6,87331.86,2.95402
2025-12-29 21:59:00,87331.87,87337.85,87331.86,87337.85,1.58033
2025-12-29 22:00:00,87337.85,87337.85,87302.27,87302.27,2.51072
2025-12-29 22:01:00,87302.27,87302.28,87286.27,87286.28,2.08175
2025-12-29 22:02:00,87286.28,87286.28,87286.27,87286.28,0.97671
2025-12-29 22:03:00,87286.27,87286.28,87280.0,87280.01,1.51236
2025-12-29 22:04:00,87280.01,87280.01,87250.28,87250.29,8.03339
2025-12-29 22:05:00,87250.28,87282.5,87218.81,87218.81,8.66571
2025-12-29 22:06:00,87218.82,87218.82,87206.67,87206.68,1.22994
2025-12-29 22:07:00,87206.68,87222.51,87200.0,87204.07,5.08625
2025-12-29 22:08:00,87204.08,87218.26,87185.67,87185.67,7.46961
2025-12-29 22:09:00,87185.68,87185.68,87085.5,87085.5,12.0247
2025-12-29 22:10:00,87085.5,87130.07,87071.49,87071.5,13.49965
2025-12-29 22:11:00,87071.5,87094.77,87071.49,87094.76,3.165
2025-12-29 22:12:00,87094.77,87100.98,87094.76,87100.97,3.8791
2025-12-29 22:13:00,87100.98,87113.88,87100.97,87113.88,7.79102
2025-12-29 22:14:00,87113.88,87128.55,87109.7,87128.55,6.87025
2025-12-29 22:15:00,87128.55,87164.27,87128.55,87139.02,7.21529
2025-12-29 22:16:00,87139.02,87184.96,87139.01,87157.2,11.382
2025-12-29 22:17:00,87157.2,87157.2,87146.28,87146.29,5.10038
2025-12-29 22:18:00,87146.29,87156.97,87146.28,87156.96,1.79999
2025-12-29 22:19:00,87156.96,87187.82,87156.96,87169.14,5.82862
2025-12-29 22:20:00,87169.15,87169.15,87163.94,87163.94,2.09692
2025-12-29 22:21:00,87163.95,87182.74,87163.94,87182.74,2.27922
2025-12-29 22:22:00,87182.74,87209.55,87182.74,87209.55,5.03358
2025-12-29 22:23:00,87209.55,87216.26,87209.54,87216.25,5.5154
2025-12-29 22:24:00,87216.25,87260.03,87216.25,87260.03,6.89979
2025-12-29 22:25:00,87260.02,87260.02,87229.91,87229.91,5.8196
2025-12-29 22:26:00,87229.92,87229.92,87218.84,87218.85,7.80535
2025-12-29 22:27:00,87218.84,87218.85,87216.4,87216.4,2.36195
2025-12-29 22:28:00,87216.41,87227.79,87202.01,87227.79,13.64274
2025-12-29 22:29:00,87227.79,87228.01,87225.01,87225.02,7.80463
2025-12-29 22:30:00,87225.02,87237.73,87206.03,87237.73,9.98693
2025-12-29 22:31:00,87237.73,87247.19,87229.3,87247.18,8.96115
2025-12-29 22:32:00,87247.19,87312.22,87247.19,87312.22,11.74866
2025-12-29 22:33:00,87312.21,87319.68,87306.28,87306.29,7.29951
2025-12-29 22:34:00,87306.28,87306.29,87306.28,87306.28,0.73056
2025-12-29 22:35:00,87306.29,87306.29,87306.28,87306.29,3.72293
2025-12-29 22:36:00,87306.29,87334.75,87300.02,87300.03,13.3879
2025-12-29 22:37:00,87300.03,87300.03,87297.51,87297.52,2.96769
2025-12-29 22:38:00,87297.52,87297.52,87258.1,87258.1,3.63221
2025-12-29 22:39:00,87258.11,87272.67,87258.1,87272.67,2.97817
2025-12-29 22:40:00,87272.67,87306.54,87272.67,87306.54,1.68199
2025-12-29 22:41:00,87306.53,87360.09,87306.53,87344.28,5.54745
2025-12-29 22:42:00,87344.28,87344.28,87344.27,87344.28,1.91833
2025-12-29 22:43:00,87344.27,87361.54,87344.27,87361.53,5.17852
2025-12-29 22:44:00,87361.54,87389.87,87361.53,87379.1,6.85459
2025-12-29 22:45:00,87379.1,87379.11,87340.72,87341.87,3.19781
2025-12-29 22:46:00,87341.86,87341.87,87341.86,87341.86,0.54292
2025-12-29 22:47:00,87341.87,87350.04,87341.86,87350.04,3.42877
2025-12-29 22:48:00,87350.04,87378.02,87350.04,87378.02,2.26582
2025-12-29 22:49:00,87378.02,87404.29,87378.02,87404.28,10.06418
2025-12-29 22:50:00,87404.28,87404.29,87374.44,87374.44,3.86866
2025-12-29 22:51:00,87374.44,87374.44,87351.05,87364.6,2.07525
2025-12-29 22:52:00,87364.59,87364.6,87364.59,87364.59,0.40093
2025-12-29 22:53:00,87364.59,87364.6,87364.59,87364.59,0.47242
2025-12-29 22:54:00,87364.59,87370.63,87364.59,87370.63,4.2557
2025-12-29 22:55:00,87370.63,87393.72,87370.62,87393.72,1.56693
2025-12-29 22:56:00,87393.71,87395.07,87393.71,87395.06,1.87241
2025-12-29 22:57:00,87395.07,87395.07,87395.06,87395.06,1.22396
2025-12-29 22:58:00,87395.06,87395.07,87365.64,87365.64,9.82027
2025-12-29 22:59:00,87365.65,87365.65,87351.05,87351.05,3.50303
2025-12-29 23:00:00,87351.05,87351.05,87323.88,87337.36,6.72589
2025-12-29 23:01:00,87337.36,87337.36,87292.64,87292.64,3.84642
2025-12-29 23:02:00,87292.64,87332.31,87280.46,87332.3,6.27422
2025-12-29 23:03:00,87332.3,87367.39,87309.06,87367.39,5.86062
2025-12-29 23:04:00,87367.39,87379.9,87367.38,87370.7,2.74497
2025-12-29 23:05:00,87370.7,87370.7,87346.0,87370.32,4.50504
2025-12-29 23:06:00,87370.31,87390.0,87370.31,87379.41,5.04939
2025-12-29 23:07:00,87379.42,87392.65,87379.41,87386.53,3.62945
2025-12-29 23:08:00,87386.52,87386.54,87386.52,87386.53,2.12558
2025-12-29 23:09:00,87386.53,87395.07,87386.53,87395.06,2.50719
2025-12-29 23:10:00,87395.06,87395.07,87395.06,87395.06,0.56976
2025-12-29 23:11:00,87395.07,87395.07,87386.53,87386.54,2.14607
2025-12-29 23:12:00,87386.54,87386.54,87386.53,87386.53,3.15409
2025-12-29 23:13:00,87386.54,87386.54,87364.62,87364.63,4.1374
2025-12-29 23:14:00,87364.62,87375.11,87364.62,87375.11,6.02127
2025-12-29 23:15:00,87375.11,87375.11,87361.53,87361.53,1.44064
2025-12-29 23:16:00,87361.53,87361.54,87361.53,87361.54,0.50141
